n, normal_time_sec, strassen_time_sec, max_difference
64, 0.000519, 0.000600, 0.000000e+00
128, 0.004433, 0.003032, 1.015000e+03
192, 0.013860, 0.005569, 1.610000e+03
256, 0.022836, 0.008937, 1.861000e+03
320, 0.033954, 0.010574, 2.257000e+03
384, 0.054113, 0.018642, 2.413000e+03
448, 0.088638, 0.030498, 2.540000e+03
512, 0.138652, 0.047605, 2.794000e+03
576, 0.195880, 0.049446, 3.040000e+03
640, 0.271629, 0.075847, 3.385000e+03
704, 0.365852, 0.102338, 3.757000e+03
768, 0.482567, 0.135856, 3.828000e+03
832, 0.632176, 0.174382, 3.923000e+03
896, 0.776951, 0.224780, 3.766000e+03
960, 0.957489, 0.273557, 4.188000e+03
1024, 1.256643, 0.349154, 4.636000e+03
1088, 1.400354, 0.313886, 4.317000e+03
1152, 1.679184, 0.360928, 4.608000e+03
1216, 2.022684, 0.440669, 4.975000e+03
1280, 2.356728, 0.531792, 5.258000e+03
1344, 2.746336, 0.621856, 5.450000e+03
1408, 3.161870, 0.732373, 6.204000e+03
1472, 3.634498, 0.837510, 5.654000e+03
1536, 4.224232, 0.966328, 5.941000e+03
1600, 4.720664, 1.079169, 5.804000e+03
1664, 5.521770, 1.251117, 5.889000e+03
1728, 6.190946, 1.391559, 5.525000e+03
1792, 6.999130, 1.546555, 6.462000e+03
1856, 7.644135, 1.719267, 7.769000e+03
1920, 8.685243, 1.948848, 5.952000e+03
1984, 9.496067, 2.159716, 6.982000e+03
